,Time [s],Committed size,Free size,Used size
7,7.01,258,251,7
8,8.02,694,530,164
9,9.02,646,283,363
10,10.02,570,438,133
11,11.02,570,391,180
12,12.02,334,301,33
13,13.02,710,504,205
14,14.03,710,480,230
15,15.03,710,480,230
16,16.03,710,480,230
17,17.03,710,670,39
18,18.03,710,288,422
19,19.04,745,368,377
20,20.04,745,720,26
21,21.04,745,476,270
22,22.04,451,322,129
23,23.04,598,330,268
24,24.04,598,419,179
25,25.04,598,535,64
26,26.04,598,427,171
27,27.04,598,308,290
28,28.04,598,342,256
29,29.04,598,565,33
30,30.04,598,450,148
31,31.04,598,331,267
32,32.05,598,251,347
33,33.05,664,649,14
34,34.05,288,206,81
35,35.05,633,445,187
36,36.05,633,624,9
37,37.05,633,398,235
38,38.05,654,297,358
39,39.05,654,372,282
40,40.05,654,499,155
41,41.05,654,584,70
42,42.05,654,537,117
43,43.05,654,639,15
44,44.05,654,417,238
45,45.05,654,521,134
46,46.05,654,329,326
47,47.06,654,443,211
48,48.06,654,482,173
49,49.06,654,276,378
50,50.06,688,374,314
51,51.06,313,286,27
52,52.07,534,273,261
53,53.07,641,604,37
54,54.08,589,537,52
55,55.08,589,573,15
56,56.08,589,272,316
57,57.08,589,454,135
58,58.08,589,311,278
59,59.08,589,500,89
60,60.08,589,467,122
61,61.08,589,465,124
62,62.08,589,337,251
63,63.08,589,348,241
64,64.08,589,414,175
65,65.08,589,450,138
66,66.08,589,261,328
67,67.08,589,427,161
68,68.08,589,337,252
69,69.08,589,485,104
70,70.08,589,392,197
71,71.08,589,245,344
72,72.08,589,506,83
73,73.08,589,314,275
74,74.09,589,323,266
75,75.09,589,316,273
76,76.09,589,291,298
77,77.09,673,402,270
78,78.09,673,373,300
79,79.09,673,511,162
80,80.09,673,511,162
81,81.09,673,542,131
82,82.09,673,361,311
83,83.09,673,506,166
84,84.09,673,438,235
85,85.09,673,270,402
86,86.09,673,504,168
87,87.09,706,374,332
88,88.1,706,634,71
89,89.1,706,290,416
90,90.1,706,673,33
91,91.1,706,466,239
92,92.1,706,626,80
93,93.1,706,470,236
94,94.1,706,395,311
95,95.1,706,618,88
96,96.1,706,671,35
97,97.1,706,587,119
98,98.1,706,370,336
99,99.1,706,404,302
100,100.1,706,566,139
101,101.11,706,403,302
102,102.11,706,286,420
103,103.11,706,342,363
104,104.11,706,307,398
105,105.11,706,443,263
106,106.13,706,594,111
107,107.13,706,305,401
108,108.13,706,623,82
109,109.13,706,409,296
110,110.13,706,330,376
111,111.13,706,483,223
112,112.13,706,681,24
113,113.13,706,610,95
114,114.13,692,596,96
115,115.13,692,638,54
116,116.13,692,501,191
117,117.13,692,342,350
118,118.13,692,493,200
119,119.13,692,536,157
120,120.13,692,468,224
121,121.13,692,565,127
122,122.13,692,537,155
123,123.13,692,511,181
124,124.13,692,496,197
125,125.13,692,442,250
126,126.14,692,591,101
127,127.14,692,572,120
128,128.14,692,289,403
129,129.14,692,338,354
130,130.14,692,422,270
131,131.14,692,387,305
132,132.14,692,492,200
133,133.14,692,495,197
134,134.14,692,578,114
135,135.14,692,621,71
136,136.14,692,457,236
137,137.14,692,546,146
138,138.14,692,304,389
139,139.14,692,646,46
140,140.14,692,543,150
141,141.14,610,393,217
142,142.14,610,320,290
143,143.14,610,406,205
144,144.14,610,291,319
145,145.14,610,482,128
146,146.14,610,423,187
147,147.15,610,420,190
148,148.15,610,479,132
149,149.15,610,432,178
150,150.15,610,566,45
151,151.16,610,534,76
152,152.16,610,513,97
153,153.16,610,574,36
154,154.16,610,533,77
155,155.16,610,285,326
156,156.16,610,276,334
157,157.17,610,377,233
158,158.17,610,332,279
159,159.17,610,543,67
160,160.17,610,508,102
161,161.17,610,307,304
162,162.17,610,574,36
163,163.17,610,359,251
164,164.17,610,411,200
165,165.17,610,319,291
166,166.17,610,555,55
167,167.17,610,448,162
168,168.17,610,441,169
169,169.17,610,327,283
170,170.17,610,353,258
171,171.17,610,370,241
172,172.17,610,582,28
173,173.17,610,275,335
174,174.19,610,292,318
175,175.19,610,295,315
176,176.19,610,472,138
177,177.19,610,584,26
178,178.19,610,606,5
179,179.19,610,267,343
180,180.19,610,326,284
181,181.19,610,600,10
182,182.19,610,330,280
183,183.19,610,391,219
184,184.19,610,605,5
185,185.2,610,476,134
186,186.2,610,303,307
187,187.2,610,446,165
188,188.2,610,372,238
189,189.2,610,265,345
190,190.2,610,317,294
191,191.2,610,411,199
192,192.2,610,268,342
193,193.2,610,485,125
194,194.2,610,267,343
195,195.2,610,246,364
196,196.2,610,370,240
197,197.2,610,557,54
198,198.2,610,429,181
199,199.2,610,342,268
200,200.2,610,251,359
201,201.2,610,427,183
202,202.2,610,603,7
203,203.2,610,342,268
204,204.2,610,454,156
205,205.2,610,409,201
206,206.21,610,451,159
207,207.21,610,357,254
208,208.21,610,601,10
209,209.21,610,452,159
210,210.21,610,577,33
211,211.21,610,594,16
212,212.21,610,575,35
213,213.21,610,255,356
214,214.21,610,591,19
215,215.21,610,480,130
216,216.21,610,498,112
217,217.21,610,463,147
218,218.21,610,402,208
219,219.21,610,567,43
220,220.23,610,458,152
221,221.23,610,381,229
222,222.24,610,360,250
223,223.24,610,266,344
224,224.24,610,528,82
225,225.24,610,455,155
226,226.24,610,521,89
227,227.27,610,582,28
228,228.27,610,590,20
229,229.27,610,527,83
230,230.27,610,491,120
231,231.27,610,494,116
232,232.27,610,271,339
233,233.27,610,447,163
234,234.27,610,336,274
235,235.27,610,494,116
236,236.29,610,366,245
237,237.29,610,382,228
238,238.29,610,530,80
239,239.3,610,274,336
240,240.32,610,474,136
241,241.32,610,314,296
242,242.32,610,502,108
243,243.32,610,311,300
244,244.33,754,622,132
245,245.33,754,551,203
246,246.33,754,405,349
247,247.33,754,496,257
248,248.33,754,492,262
249,249.36,754,599,155
250,250.36,754,492,262
251,251.36,754,377,376
252,252.36,754,750,4
253,253.38,754,666,88
254,254.38,754,316,437
255,255.38,754,712,42
256,256.38,754,654,99
257,257.38,623,382,240
258,258.39,623,590,32
259,259.39,723,371,352
260,260.39,723,309,414
261,261.39,723,718,5
262,262.39,723,588,135
263,263.39,723,542,181
264,264.39,723,315,408
265,265.39,723,684,39
266,266.39,723,377,346
267,267.39,723,569,154
268,268.39,723,335,388
269,269.39,723,311,412
270,270.39,723,423,300
271,271.39,723,707,16
272,272.39,723,612,111
273,273.39,723,598,125
274,274.39,723,515,208
275,275.39,723,612,111
276,276.39,723,374,349
277,277.39,723,412,311
278,278.39,723,451,272
279,279.4,723,490,233
280,280.4,723,592,131
281,281.4,723,302,421
282,282.4,723,547,176
283,283.4,723,610,113
284,284.4,723,392,331
285,285.4,723,483,240
286,286.4,723,642,81
287,287.4,723,381,342
288,288.4,723,296,427
289,289.41,723,410,312
290,290.41,723,351,372
291,291.41,723,468,255
292,292.41,723,297,426
293,293.41,723,556,167
294,294.44,723,385,338
295,295.44,723,351,372
296,296.44,723,399,324
297,297.45,723,547,176
298,298.45,723,461,262
299,299.45,723,475,248
300,300.45,723,297,426
