"Time [s]","Committed size","Free size","Used size"
0.0,258048000,250602000,7446000
1.0,258048000,250602000,7446000
2.0,258048000,250602000,7446000
3.0,258048000,250602000,7446000
4.01,258048000,250586000,7462000
5.01,258048000,250099000,7949000
6.01,258048000,250099000,7949000
7.01,258048000,250099000,7949000
8.02,258048000,250099000,7949000
9.02,258048000,250099000,7949000
10.02,258048000,250099000,7949000
11.02,258048000,249564000,8484000
12.03,258048000,249564000,8484000
13.03,258048000,249564000,8484000
14.03,258048000,249564000,8484000
15.04,27648000,24866000,2782000
16.04,27648000,24702000,2946000
17.04,645120000,263703000,381417000
18.04,645120000,567311000,77809000
19.04,645120000,596987000,48133000
20.04,40960000,34292000,6668000
21.04,411648000,296941000,114707000
22.05,37888000,25181000,12707000
23.05,316416000,257058000,59358000
24.05,379904000,217627000,162277000
25.05,549888000,278045000,271843000
26.05,549888000,327703000,222185000
27.06,210944000,101976000,108968000
28.06,439296000,364108000,75188000
29.06,439296000,286232000,153064000
30.06,527360000,421393000,105967000
31.07,632832000,528972000,103860000
32.07,343040000,312308000,30732000
33.07,175104000,69205000,105899000
34.08,30720000,24400000,6320000
35.08,271360000,231478000,39882000
36.09,470016000,293917000,176099000
37.09,573440000,270859000,302581000
38.09,241664000,229424000,12240000
39.09,290816000,139725000,151091000
40.09,1046528000,945075000,101453000
41.1,1046528000,557591000,488937000
42.1,1046528000,458267000,588261000
43.1,1046528000,442883000,603645000
44.1,1046528000,721867000,324661000
45.1,1046528000,876571000,169957000
46.1,1046528000,933887000,112641000
47.1,1046528000,992715000,53813000
48.1,1046528000,988649000,57879000
49.11,1046528000,997383000,49145000
50.11,556032000,395316000,160716000
51.11,556032000,362494000,193538000
52.11,556032000,347724000,208308000
53.11,556032000,272890000,283142000
54.12,556032000,488500000,67532000
55.12,556032000,232522000,323510000
56.12,556032000,311802000,244230000
57.12,556032000,399952000,156080000
58.12,556032000,309838000,246194000
59.12,556032000,352767000,203265000
60.12,556032000,377414000,178618000
61.13,556032000,382477000,173555000
62.13,556032000,426993000,129039000
63.13,556032000,388595000,167437000
64.13,556032000,493099000,62933000
65.13,235520000,127499000,108021000
66.14,361472000,190462000,171010000
