"Time [s]","Committed size","Free size","Used size"
0.0,258048000,251123000,6925000
1.0,258048000,251123000,6925000
2.0,258048000,251123000,6925000
3.01,258048000,251123000,6925000
4.01,258048000,251123000,6925000
5.01,258048000,251123000,6925000
6.01,258048000,251076000,6972000
7.01,258048000,250588000,7460000
8.02,258048000,250588000,7460000
9.02,258048000,196647000,61401000
10.02,310272000,187649000,122623000
11.02,310272000,199533000,110739000
12.02,310272000,197156000,113116000
13.02,310272000,239631000,70641000
14.02,310272000,219837000,90435000
15.02,206848000,171268000,35580000
16.02,262144000,248209000,13935000
17.03,315392000,136147000,179245000
18.03,236544000,114460000,122084000
19.03,236544000,130818000,105726000
20.03,236544000,149505000,87039000
21.03,299008000,176169000,122839000
22.03,299008000,143128000,155880000
23.03,147456000,116411000,31045000
24.03,292864000,186263000,106601000
25.03,292864000,223895000,68969000
26.03,261120000,202431000,58689000
27.03,150528000,69909000,80619000
28.04,218112000,199933000,18179000
29.04,262144000,241416000,20728000
30.04,315392000,274670000,40722000
31.04,258048000,136338000,121710000
32.04,177152000,71916000,105236000
33.04,212992000,185015000,27977000
34.04,177152000,157420000,19732000
35.04,143360000,80633000,62727000
36.04,256000000,149149000,106851000
37.04,256000000,151680000,104320000
38.04,256000000,167394000,88606000
39.05,307200000,148475000,158725000
40.05,307200000,171959000,135241000
41.05,307200000,154986000,152214000
42.05,307200000,143971000,163229000
43.05,307200000,132250000,174950000
44.05,307200000,259147000,48053000
45.05,307200000,259065000,48135000
46.05,307200000,258985000,48215000
47.05,307200000,258905000,48295000
48.05,307200000,258825000,48375000
49.05,307200000,258745000,48455000
50.05,307200000,258663000,48537000
51.06,307200000,258583000,48617000
52.06,307200000,258503000,48697000
53.06,307200000,258423000,48777000
54.06,307200000,258343000,48857000
55.06,307200000,258261000,48939000
56.06,27648000,21292000,6356000
57.06,27648000,21209000,6439000
58.06,27648000,21129000,6519000
59.07,27648000,21049000,6599000
60.07,27648000,20969000,6679000
