,Time [s],Committed size,Free size,Used size
16,16.04,28,25,3
17,17.04,645,264,381
18,18.04,645,567,78
19,19.04,645,597,48
20,20.04,41,34,7
21,21.04,412,297,115
22,22.05,38,25,13
23,23.05,316,257,59
24,24.05,380,218,162
25,25.05,550,278,272
26,26.05,550,328,222
27,27.06,211,102,109
28,28.06,439,364,75
29,29.06,439,286,153
30,30.06,527,421,106
31,31.07,633,529,104
32,32.07,343,312,31
33,33.07,175,69,106
34,34.08,31,24,6
35,35.08,271,231,40
36,36.09,470,294,176
37,37.09,573,271,303
38,38.09,242,229,12
39,39.09,291,140,151
40,40.09,1047,945,101
41,41.1,1047,558,489
42,42.1,1047,458,588
43,43.1,1047,443,604
44,44.1,1047,722,325
45,45.1,1047,877,170
46,46.1,1047,934,113
47,47.1,1047,993,54
48,48.1,1047,989,58
49,49.11,1047,997,49
50,50.11,556,395,161
51,51.11,556,362,194
52,52.11,556,348,208
53,53.11,556,273,283
54,54.12,556,488,68
55,55.12,556,233,324
56,56.12,556,312,244
57,57.12,556,400,156
58,58.12,556,310,246
59,59.12,556,353,203
60,60.12,556,377,179
61,61.13,556,382,174
62,62.13,556,427,129
63,63.13,556,389,167
64,64.13,556,493,63
65,65.13,236,127,108
66,66.14,361,190,171
67,67.14,560,323,237
68,68.14,560,421,139
69,69.14,560,544,16
70,70.14,560,245,315
71,71.15,560,420,140
72,72.15,560,526,34
73,73.15,560,339,221
74,74.15,560,366,194
75,75.15,560,488,72
76,76.15,560,234,327
77,77.15,560,310,250
78,78.16,560,337,223
79,79.16,560,384,177
80,80.16,560,462,98
81,81.16,560,254,306
82,82.16,560,344,216
83,83.16,560,547,13
84,84.16,560,496,64
85,85.16,560,330,230
86,86.17,560,451,110
87,87.17,560,245,315
88,88.17,455,246,209
89,89.17,614,489,126
90,90.17,614,394,221
91,91.17,614,335,280
92,92.18,614,588,26
93,93.18,614,546,68
94,94.18,614,436,178
95,95.18,614,586,29
96,96.18,614,354,260
97,97.18,614,255,359
98,98.18,614,497,117
99,99.19,614,372,242
100,100.19,614,428,186
101,101.2,614,348,267
102,102.2,614,510,104
103,103.2,614,419,195
104,104.2,614,292,322
105,105.2,614,403,211
106,106.21,614,288,327
107,107.21,614,587,28
108,108.21,614,485,129
109,109.21,614,426,188
110,110.22,614,275,339
111,111.22,614,572,42
112,112.22,614,469,145
113,113.22,262,244,18
114,114.22,390,290,100
115,115.22,469,386,83
116,116.23,469,314,155
117,117.23,563,525,38
118,118.23,563,498,66
119,119.23,563,392,171
120,120.23,563,381,182
121,121.23,563,519,44
122,122.23,563,526,37
123,123.23,563,231,332
124,124.23,563,246,317
125,125.24,563,482,81
126,126.24,563,549,14
127,127.24,563,411,152
128,128.25,563,539,24
129,129.25,563,394,169
130,130.25,563,533,30
131,131.25,563,230,333
132,132.25,563,494,70
133,133.25,563,494,69
134,134.25,563,478,85
135,135.25,563,356,207
136,136.25,563,433,130
137,137.25,563,274,289
138,138.25,563,417,146
139,139.25,563,543,20
140,140.25,689,631,58
141,141.26,689,538,152
142,142.26,689,664,26
143,143.26,689,427,262
144,144.26,689,551,138
145,145.26,689,567,122
146,146.26,689,622,67
147,147.26,689,457,232
148,148.26,689,382,307
149,149.26,689,299,391
150,150.26,689,503,186
151,151.26,689,372,317
152,152.26,689,278,411
153,153.26,689,381,308
154,154.26,689,683,6
155,155.27,689,671,18
156,156.27,689,383,306
157,157.27,689,399,290
158,158.27,689,345,344
159,159.27,689,512,178
160,160.27,689,673,16
161,161.27,689,434,255
162,162.27,689,333,356
163,163.27,689,275,414
164,164.27,689,408,281
165,165.28,689,684,6
166,166.28,689,280,409
167,167.28,689,480,209
168,168.28,689,391,298
169,169.28,689,578,111
170,170.28,689,506,183
171,171.28,689,525,164
172,172.28,689,622,67
173,173.28,689,656,33
174,174.29,689,603,86
175,175.29,689,407,283
176,176.29,689,407,282
177,177.29,689,462,227
178,178.29,689,669,20
179,179.29,689,549,140
180,180.29,689,300,390
181,181.29,689,450,240
182,182.29,689,414,276
183,183.29,689,477,212
184,184.29,689,293,396
185,185.29,689,278,411
186,186.29,689,344,345
187,187.29,689,301,388
