"Time [s]","Total number of threads","Runnable threads","Blocked threads","Threads in Net I/O","Waiting threads"
0.0,1,0,0,1,0
1.0,1,0,0,1,0
2.0,1,0,0,1,0
3.0,1,0,0,1,0
4.01,1,0,0,1,0
5.01,1,0,0,1,0
6.01,1,0,0,1,0
7.01,1,0,0,1,0
8.02,1,0,0,1,0
9.02,1,0,0,1,0
10.02,1,0,0,1,0
11.02,1,0,0,1,0
12.03,1,0,0,1,0
13.03,1,0,0,1,0
14.03,1,0,0,1,0
15.04,1,0,0,1,0
16.04,1,0,0,1,0
17.04,3,3,0,0,0
18.04,3,2,0,1,0
19.04,1,0,0,1,0
20.04,2,2,0,0,0
21.04,1,1,0,0,0
22.05,3,3,0,0,0
23.05,2,1,0,1,0
24.05,2,2,0,0,0
25.05,1,1,0,0,0
26.05,2,2,0,0,0
27.06,2,1,0,1,0
28.06,4,3,0,1,0
29.06,2,2,0,0,0
30.06,2,2,0,0,0
31.07,2,2,0,0,0
32.07,1,1,0,0,0
33.07,2,0,0,2,0
34.08,2,1,0,1,0
35.08,2,2,0,0,0
36.09,2,0,0,2,0
37.09,2,2,0,0,0
38.09,1,1,0,0,0
39.09,1,0,0,1,0
40.09,3,2,0,1,0
41.1,3,2,0,1,0
42.1,2,2,0,0,0
43.1,1,1,0,0,0
44.1,2,2,0,0,0
45.1,1,1,0,0,0
46.1,1,1,0,0,0
47.1,2,2,0,0,0
48.1,2,1,0,1,0
49.11,1,1,0,0,0
50.11,2,2,0,0,0
51.11,2,2,0,0,0
52.11,2,2,0,0,0
53.11,3,1,0,2,0
54.12,2,1,0,1,0
55.12,2,2,0,0,0
56.12,1,1,0,0,0
57.12,1,1,0,0,0
58.12,2,2,0,0,0
59.12,1,1,0,0,0
60.12,3,3,0,0,0
61.13,1,1,0,0,0
62.13,1,0,0,1,0
63.13,1,1,0,0,0
64.13,2,1,0,1,0
65.13,2,2,0,0,0
66.14,2,1,0,1,0
67.14,2,2,0,0,0
68.14,2,2,0,0,0
69.14,3,3,0,0,0
70.14,2,2,0,0,0
71.15,1,1,0,0,0
72.15,2,1,0,1,0
73.15,2,1,0,1,0
74.15,1,0,0,1,0
75.15,1,0,0,1,0
76.15,1,1,0,0,0
77.15,2,2,0,0,0
78.16,2,0,0,2,0
79.16,2,1,0,1,0
80.16,2,2,0,0,0
81.16,2,1,0,1,0
82.16,1,0,0,1,0
83.16,3,2,0,1,0
84.16,3,3,0,0,0
85.16,2,2,0,0,0
86.17,2,1,0,1,0
87.17,1,1,0,0,0
88.17,3,3,0,0,0
89.17,2,2,0,0,0
90.17,1,1,0,0,0
91.17,3,2,0,1,0
92.18,1,1,0,0,0
93.18,2,2,0,0,0
94.18,2,1,0,1,0
95.18,2,2,0,0,0
96.18,2,2,0,0,0
97.18,3,1,0,2,0
98.18,3,2,0,1,0
99.19,2,2,0,0,0
100.19,2,2,0,0,0
101.2,2,2,0,0,0
102.2,2,1,0,1,0
103.2,1,1,0,0,0
104.2,1,0,0,1,0
105.2,3,3,0,0,0
106.21,2,1,0,1,0
107.21,2,0,0,2,0
108.21,3,2,0,1,0
109.21,1,1,0,0,0
110.22,1,0,0,1,0
111.22,2,2,0,0,0
112.22,1,1,0,0,0
113.22,2,2,0,0,0
114.22,1,0,0,1,0
115.22,3,3,0,0,0
116.23,6,3,0,3,0
117.23,2,1,0,1,0
118.23,1,1,0,0,0
119.23,2,2,0,0,0
120.23,2,1,0,1,0
121.23,1,1,0,0,0
122.23,2,2,0,0,0
123.23,2,1,0,1,0
124.23,1,1,0,0,0
125.24,2,1,0,1,0
126.24,1,1,0,0,0
127.24,1,0,0,1,0
128.25,2,1,0,1,0
129.25,2,2,0,0,0
130.25,2,1,0,1,0
131.25,2,2,0,0,0
132.25,2,2,0,0,0
133.25,2,1,0,1,0
134.25,1,0,0,1,0
135.25,2,0,0,2,0
136.25,1,1,0,0,0
137.25,2,1,0,1,0
138.25,1,1,0,0,0
139.25,2,1,0,1,0
140.25,2,2,0,0,0
141.26,2,1,0,1,0
142.26,1,0,0,1,0
143.26,2,1,0,1,0
144.26,1,0,0,1,0
145.26,2,2,0,0,0
146.26,2,1,0,1,0
147.26,1,0,0,1,0
148.26,2,1,0,1,0
149.26,2,2,0,0,0
150.26,2,0,0,2,0
151.26,2,1,0,1,0
152.26,1,1,0,0,0
153.26,2,1,0,1,0
154.26,1,0,0,1,0
155.27,2,2,0,0,0
156.27,3,3,0,0,0
157.27,1,1,0,0,0
158.27,2,2,0,0,0
159.27,2,1,0,1,0
160.27,1,0,0,1,0
161.27,2,2,0,0,0
162.27,2,2,0,0,0
163.27,2,1,0,1,0
164.27,2,1,0,1,0
165.28,3,3,0,0,0
166.28,2,2,0,0,0
167.28,1,1,0,0,0
168.28,1,1,0,0,0
169.28,2,2,0,0,0
170.28,3,3,0,0,0
171.28,1,0,0,1,0
172.28,2,2,0,0,0
173.28,2,1,0,1,0
174.29,2,0,0,2,0
175.29,2,1,0,1,0
176.29,2,2,0,0,0
177.29,2,2,0,0,0
178.29,3,2,0,1,0
179.29,2,2,0,0,0
180.29,2,2,0,0,0
181.29,2,2,0,0,0
182.29,1,0,0,1,0
183.29,1,0,0,1,0
184.29,2,1,0,1,0
185.29,2,1,0,1,0
186.29,1,1,0,0,0
187.29,1,0,0,1,0
188.29,1,0,0,1,0
189.3,1,0,0,1,0
190.3,1,0,0,1,0
191.3,1,0,0,1,0
192.3,1,0,0,1,0
193.3,1,0,0,1,0
194.3,1,0,0,1,0
195.3,1,0,0,1,0
196.3,1,0,0,1,0
197.31,1,0,0,1,0
198.31,1,0,0,1,0
199.31,1,0,0,1,0
200.31,1,0,0,1,0
201.31,1,0,0,1,0
202.31,1,0,0,1,0
203.31,1,0,0,1,0
204.31,1,0,0,1,0
205.31,1,0,0,1,0
206.33,1,0,0,1,0
207.33,1,0,0,1,0
208.34,1,0,0,1,0
209.34,1,0,0,1,0
