"Time [s]","Total number of threads","Runnable threads","Blocked threads","Threads in Net I/O","Waiting threads"
0.0,1,0,0,1,0
1.0,1,0,0,1,0
2.0,1,0,0,1,0
3.01,1,0,0,1,0
4.01,1,0,0,1,0
5.01,1,0,0,1,0
6.01,1,0,0,1,0
7.01,1,0,0,1,0
8.02,1,0,0,1,0
9.02,73,2,0,70,1
10.02,98,2,0,6,90
11.02,104,3,0,25,76
12.02,104,4,0,66,34
13.02,104,2,0,42,60
14.02,104,2,0,44,58
15.02,104,2,0,2,100
16.02,104,2,0,53,49
17.03,104,3,0,18,83
18.03,104,2,0,71,31
19.03,104,3,0,99,2
20.03,104,2,0,1,101
21.03,104,2,0,37,65
22.03,104,3,0,72,29
23.03,104,2,0,15,87
24.03,104,2,0,15,87
25.03,104,2,0,1,101
26.03,104,2,0,31,71
27.03,104,2,0,53,49
28.04,104,3,0,84,17
29.04,104,3,0,16,85
30.04,104,2,0,1,101
31.04,104,4,0,18,82
32.04,104,2,0,41,61
33.04,104,2,0,1,101
34.04,104,2,0,34,68
35.04,104,2,0,33,69
36.04,104,2,0,3,99
37.04,104,2,0,40,62
38.04,104,3,0,93,8
39.05,104,3,0,13,88
40.05,104,2,0,12,90
41.05,104,3,0,41,60
42.05,104,2,0,67,35
43.05,104,4,0,90,10
44.05,104,2,0,1,101
45.05,104,2,0,1,101
46.05,104,2,0,1,101
47.05,104,2,0,1,101
48.05,104,2,0,1,101
49.05,104,2,0,1,101
50.05,104,2,0,1,101
51.06,104,2,0,1,101
52.06,104,2,0,1,101
53.06,104,2,0,1,101
54.06,104,2,0,1,101
55.06,104,2,0,1,101
56.06,104,2,0,1,101
57.06,104,2,0,1,101
58.06,104,2,0,1,101
59.07,104,2,0,1,101
60.07,104,2,0,1,101
