"Time [s]","Committed size","Free size","Used size"
0.0,258048000,251155000,6893000
1.0,258048000,251155000,6893000
2.0,258048000,251155000,6893000
3.01,258048000,251155000,6893000
4.01,258048000,251076000,6972000
5.01,258048000,250596000,7452000
6.01,258048000,250596000,7452000
7.01,258048000,250596000,7452000
8.02,694272000,530258000,164014000
9.02,646144000,282701000,363443000
10.02,570368000,437731000,132637000
11.02,570368000,390573000,179795000
12.02,333824000,300635000,33189000
13.02,709632000,504396000,205236000
14.03,709632000,479818000,229814000
15.03,709632000,479818000,229814000
16.03,709632000,479818000,229814000
17.03,709632000,670243000,39389000
18.03,709632000,287774000,421858000
19.04,745472000,368143000,377329000
20.04,745472000,719943000,25529000
21.04,745472000,475721000,269751000
22.04,450560000,321611000,128949000
23.04,598016000,330228000,267788000
24.04,598016000,419392000,178624000
25.04,598016000,534504000,63512000
26.04,598016000,427059000,170957000
27.04,598016000,308269000,289747000
28.04,598016000,341544000,256472000
29.04,598016000,565256000,32760000
30.04,598016000,449993000,148023000
31.04,598016000,331205000,266811000
32.05,598016000,250822000,347194000
33.05,663552000,649427000,14125000
34.05,287744000,206365000,81379000
35.05,632832000,445470000,187362000
36.05,632832000,623668000,9164000
37.05,632832000,397874000,234958000
38.05,654336000,296516000,357820000
39.05,654336000,372253000,282083000
40.05,654336000,499251000,155085000
41.05,654336000,584241000,70095000
42.05,654336000,537053000,117283000
43.05,654336000,639444000,14892000
44.05,654336000,416771000,237565000
45.05,654336000,520639000,133697000
46.05,654336000,328635000,325701000
47.06,654336000,442886000,211450000
48.06,654336000,481795000,172541000
49.06,654336000,275879000,378457000
50.06,688128000,374346000,313782000
51.06,313344000,286151000,27193000
52.07,533504000,272908000,260596000
53.07,641024000,603652000,37372000
54.08,588800000,537107000,51693000
55.08,588800000,573373000,15427000
56.08,588800000,272313000,316487000
57.08,588800000,454146000,134654000
58.08,588800000,311207000,277593000
59.08,588800000,499619000,89181000
60.08,588800000,466840000,121960000
61.08,588800000,464813000,123987000
62.08,588800000,337371000,251429000
63.08,588800000,347605000,241195000
64.08,588800000,413587000,175213000
65.08,588800000,450427000,138373000
66.08,588800000,260978000,327822000
67.08,588800000,427373000,161427000
68.08,588800000,336743000,252057000
69.08,588800000,485271000,103529000
70.08,588800000,391591000,197209000
71.08,588800000,245133000,343667000
72.08,588800000,506220000,82580000
73.08,588800000,313621000,275179000
74.09,588800000,322882000,265918000
75.09,588800000,315712000,273088000
76.09,588800000,290664000,298136000
77.09,672768000,402474000,270294000
78.09,672768000,372764000,300004000
79.09,672768000,511009000,161759000
80.09,672768000,510517000,162251000
81.09,672768000,541702000,131066000
82.09,672768000,361459000,311309000
83.09,672768000,506399000,166369000
84.09,672768000,437785000,234983000
85.09,672768000,270330000,402438000
86.09,672768000,504336000,168432000
87.09,705536000,373740000,331796000
88.1,705536000,634436000,71100000
89.1,705536000,289858000,415678000
90.1,705536000,672808000,32728000
91.1,705536000,466498000,239038000
92.1,705536000,625699000,79837000
93.1,705536000,469559000,235977000
94.1,705536000,394772000,310764000
95.1,705536000,617942000,87594000
96.1,705536000,670734000,34802000
97.1,705536000,586699000,118837000
98.1,705536000,369665000,335871000
99.1,705536000,403986000,301550000
100.1,705536000,566206000,139330000
101.11,705536000,403431000,302105000
102.11,705536000,285668000,419868000
103.11,705536000,342442000,363094000
104.11,705536000,307160000,398376000
105.11,705536000,442781000,262755000
106.13,705536000,594393000,111143000
107.13,705536000,304528000,401008000
108.13,705536000,623496000,82040000
109.13,705536000,409482000,296054000
110.13,705536000,329663000,375873000
111.13,705536000,482767000,222769000
112.13,705536000,681336000,24200000
113.13,705536000,610213000,95323000
114.13,692224000,596043000,96181000
115.13,692224000,637938000,54286000
116.13,692224000,500772000,191452000
117.13,692224000,342035000,350189000
118.13,692224000,492550000,199674000
119.13,692224000,535566000,156658000
120.13,692224000,468459000,223765000
121.13,692224000,565193000,127031000
122.13,692224000,537086000,155138000
123.13,692224000,510973000,181251000
124.13,692224000,495563000,196661000
125.13,692224000,441859000,250365000
126.14,692224000,591376000,100848000
127.14,692224000,571834000,120390000
128.14,692224000,289215000,403009000
129.14,692224000,337837000,354387000
130.14,692224000,422311000,269913000
131.14,692224000,387011000,305213000
132.14,692224000,492469000,199755000
133.14,692224000,494993000,197231000
134.14,692224000,577935000,114289000
135.14,692224000,621014000,71210000
136.14,692224000,456607000,235617000
137.14,692224000,546243000,145981000
138.14,692224000,303550000,388674000
139.14,692224000,646046000,46178000
140.14,692224000,542589000,149635000
141.14,610304000,393268000,217036000
142.14,610304000,320070000,290234000
143.14,610304000,405566000,204738000
144.14,610304000,291310000,318994000
145.14,610304000,482342000,127962000
146.14,610304000,422880000,187424000
147.15,610304000,419857000,190447000
148.15,610304000,478673000,131631000
149.15,610304000,432100000,178204000
150.15,610304000,565704000,44600000
151.16,610304000,534459000,75845000
152.16,610304000,512953000,97351000
153.16,610304000,574438000,35866000
154.16,610304000,533485000,76819000
155.16,610304000,284596000,325708000
156.16,610304000,276387000,333917000
157.17,610304000,377325000,232979000
158.17,610304000,331663000,278641000
159.17,610304000,543194000,67110000
160.17,610304000,508377000,101927000
161.17,610304000,306641000,303663000
162.17,610304000,574386000,35918000
163.17,610304000,359337000,250967000
164.17,610304000,410559000,199745000
165.17,610304000,319337000,290967000
166.17,610304000,554877000,55427000
167.17,610304000,448358000,161946000
168.17,610304000,441241000,169063000
169.17,610304000,327086000,283218000
170.17,610304000,352681000,257623000
171.17,610304000,369544000,240760000
172.17,610304000,582046000,28258000
173.17,610304000,275257000,335047000
174.19,610304000,292166000,318138000
175.19,610304000,295305000,314999000
176.19,610304000,471891000,138413000
177.19,610304000,584060000,26244000
178.19,610304000,605537000,4767000
179.19,610304000,267068000,343236000
180.19,610304000,325908000,284396000
181.19,610304000,600416000,9888000
182.19,610304000,330047000,280257000
183.19,610304000,390964000,219340000
184.19,610304000,604949000,5355000
185.2,610304000,475881000,134423000
186.2,610304000,302825000,307479000
187.2,610304000,445751000,164553000
188.2,610304000,372499000,237805000
189.2,610304000,264921000,345383000
190.2,610304000,316709000,293595000
191.2,610304000,410909000,199395000
192.2,610304000,268025000,342279000
193.2,610304000,485047000,125257000
194.2,610304000,266964000,343340000
195.2,610304000,246465000,363839000
196.2,610304000,369890000,240414000
197.2,610304000,556765000,53539000
198.2,610304000,429270000,181034000
199.2,610304000,342251000,268053000
200.2,610304000,251024000,359280000
201.2,610304000,427226000,183078000
202.2,610304000,602814000,7490000
203.2,610304000,342225000,268079000
204.2,610304000,454344000,155960000
205.2,610304000,409203000,201101000
206.21,610304000,451177000,159127000
207.21,610304000,356518000,253786000
208.21,610304000,600750000,9554000
209.21,610304000,451756000,158548000
210.21,610304000,577146000,33158000
211.21,610304000,594081000,16223000
212.21,610304000,575067000,35237000
213.21,610304000,254529000,355775000
214.21,610304000,590985000,19319000
215.21,610304000,480389000,129915000
216.21,610304000,498218000,112086000
217.21,610304000,462890000,147414000
218.21,610304000,402468000,207836000
219.21,610304000,567313000,42991000
220.23,610304000,457822000,152482000
221.23,610304000,381020000,229284000
222.24,610304000,360449000,249855000
223.24,610304000,266179000,344125000
224.24,610304000,528454000,81850000
225.24,610304000,455154000,155150000
226.24,610304000,521218000,89086000
227.27,610304000,582108000,28196000
228.27,610304000,589835000,20469000
229.27,610304000,527312000,82992000
230.27,610304000,490525000,119779000
231.27,610304000,494022000,116282000
232.27,610304000,271372000,338932000
233.27,610304000,446905000,163399000
234.27,610304000,336358000,273946000
235.27,610304000,493994000,116310000
236.29,610304000,365542000,244762000
237.29,610304000,381935000,228369000
238.29,610304000,529824000,80480000
239.3,610304000,274329000,335975000
240.32,610304000,474088000,136216000
241.32,610304000,314332000,295972000
242.32,610304000,502206000,108098000
243.32,610304000,310652000,299652000
244.33,753664000,622156000,131508000
245.33,753664000,550953000,202711000
