"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: maxDepth","Param: minDepth","Param: paramCount","Param: repeat","Param: stackDepth"
"org.openjdk.benchmarks.cont.Freeze.justYield","avgt",1,5,222.337636,21.637982,"ns/op",,,1,,5
"org.openjdk.benchmarks.cont.Freeze.justYield","avgt",1,5,311.317556,5.096070,"ns/op",,,1,,10
"org.openjdk.benchmarks.cont.Freeze.justYield","avgt",1,5,473.586848,10.132953,"ns/op",,,1,,20
"org.openjdk.benchmarks.cont.Freeze.justYield","avgt",1,5,1762.366917,31.543810,"ns/op",,,1,,100
"org.openjdk.benchmarks.cont.Freeze.justYield","avgt",1,5,213.104497,3.645410,"ns/op",,,2,,5
"org.openjdk.benchmarks.cont.Freeze.justYield","avgt",1,5,306.888680,17.860320,"ns/op",,,2,,10
"org.openjdk.benchmarks.cont.Freeze.justYield","avgt",1,5,471.399405,9.585323,"ns/op",,,2,,20
"org.openjdk.benchmarks.cont.Freeze.justYield","avgt",1,5,1824.866955,111.487883,"ns/op",,,2,,100
"org.openjdk.benchmarks.cont.Freeze.justYield","avgt",1,5,216.166439,2.043688,"ns/op",,,3,,5
"org.openjdk.benchmarks.cont.Freeze.justYield","avgt",1,5,305.387403,6.021454,"ns/op",,,3,,10
"org.openjdk.benchmarks.cont.Freeze.justYield","avgt",1,5,464.322762,6.888929,"ns/op",,,3,,20
"org.openjdk.benchmarks.cont.Freeze.justYield","avgt",1,5,1810.957515,57.260299,"ns/op",,,3,,100
"org.openjdk.benchmarks.cont.FreezeAndThaw.baseline","avgt",1,5,42.823050,1.149644,"ns/op",,,1,,5
"org.openjdk.benchmarks.cont.FreezeAndThaw.baseline","avgt",1,5,51.536626,0.931968,"ns/op",,,1,,10
"org.openjdk.benchmarks.cont.FreezeAndThaw.baseline","avgt",1,5,60.616432,1.135163,"ns/op",,,1,,20
"org.openjdk.benchmarks.cont.FreezeAndThaw.baseline","avgt",1,5,183.403130,9.193809,"ns/op",,,1,,100
"org.openjdk.benchmarks.cont.FreezeAndThaw.baseline","avgt",1,5,74.863594,13.802850,"ns/op",,,2,,5
"org.openjdk.benchmarks.cont.FreezeAndThaw.baseline","avgt",1,5,102.954427,9.695585,"ns/op",,,2,,10
"org.openjdk.benchmarks.cont.FreezeAndThaw.baseline","avgt",1,5,152.596306,14.112413,"ns/op",,,2,,20
"org.openjdk.benchmarks.cont.FreezeAndThaw.baseline","avgt",1,5,601.423519,107.035585,"ns/op",,,2,,100
"org.openjdk.benchmarks.cont.FreezeAndThaw.baseline","avgt",1,5,88.031906,14.363649,"ns/op",,,3,,5
"org.openjdk.benchmarks.cont.FreezeAndThaw.baseline","avgt",1,5,139.836800,12.175273,"ns/op",,,3,,10
